node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,startGenotype,endGenotype,treeID
802,803,0.101119807758799,40.943758700069,-73.755824830179,41.0224918538584,-73.7513198212431,0.101119807758799,0,1997.3209814235,1997.42210123126,8.77305230951413,NY99,NY99,90
803,804,1.019633581588,41.0224918538584,-73.7513198212431,40.9121347053967,-73.9189596161161,1.1207533893468,0.101119807758799,1997.42210123126,1998.44173481285,18.6950213863874,NY99,NY99,90
804,805,0.0756267167113123,40.9121347053967,-73.9189596161161,40.8633183012611,-73.99570001415,1.19638010605811,1.1207533893468,1998.44173481285,1998.51736152956,8.44067738664157,NY99,NY99,90
805,794,1.225138470441,40.8633183012611,-73.99570001415,40.9022760980601,-74.7527538783992,2.42151857649911,1.19638010605811,1998.51736152956,1999.7425,63.8657315347318,NY99,NY99,90
805,806,0.00612942484039181,40.8633183012611,-73.99570001415,40.8586907261659,-74.0118369052086,1.2025095308985,1.19638010605811,1998.51736152956,1998.5234909544,1.45302051778467,NY99,NY99,90
806,793,4.095709045601,40.8586907261659,-74.0118369052086,37.2371315855013,-85.2361482927956,5.2982185764995,1.2025095308985,1998.5234909544,2002.6192,1049.81550001297,NY99,NY99,90
806,795,1.177909045601,40.8586907261659,-74.0118369052086,40.7418233289963,-74.3057378538,2.3804185764995,1.2025095308985,1998.5234909544,1999.7014,27.976543901039,NY99,NY99,90
804,807,2.564033941387,40.9121347053967,-73.9189596161161,41.1637450066674,-74.618104301057,3.6847873307338,1.1207533893468,1998.44173481285,2001.00576875423,65.045921830866,NY99,NY99,90
807,808,0.087096428784319,41.1637450066674,-74.618104301057,41.2206831232231,-74.6127739273307,3.77188375951812,3.6847873307338,2001.00576875423,2001.09286518302,6.35428065342549,NY99,NY99,90
808,791,0.589334816980999,41.2206831232231,-74.6127739273307,40.9579924491227,-74.3990177002775,4.36121857649912,3.77188375951812,2001.09286518302,2001.6822,34.3052875370249,NY99,NY99,90
808,790,0.504434816980899,41.2206831232231,-74.6127739273307,41.2131316957936,-74.6553321467144,4.27631857649902,3.77188375951812,2001.09286518302,2001.5973,3.66163620895721,NY99,NY99,90
807,792,0.750431245765398,41.1637450066674,-74.618104301057,41.2992026476229,-75.4026449691745,4.4352185764992,3.6847873307338,2001.00576875423,2001.7562,67.3914034696405,NY99,NY99,90
803,809,0.6519565153197,41.0224918538584,-73.7513198212431,41.3009534238113,-73.5193521546606,0.753076323078499,0.101119807758799,1997.42210123126,1998.07405774658,36.5913708937659,NY99,NY99,90
809,810,0.03590415085689,41.3009534238113,-73.5193521546606,41.3244385526293,-73.4966696389301,0.788980473935389,0.753076323078499,1998.07405774658,1998.10996189744,3.22996367784938,NY99,NY99,90
810,811,0.117133512234901,41.3244385526293,-73.4966696389301,41.3182281505545,-73.4550693782397,0.90611398617029,0.788980473935389,1998.10996189744,1998.22709540967,3.54609178192076,NY99,NY99,90
811,2,0.772904590329201,41.3182281505545,-73.4550693782397,41.2920753565183,-73.4034307511329,1.67901857649949,0.90611398617029,1998.22709540967,1999,5.20815434463132,NY99,NY99,90
811,1,1.427704590329,41.3182281505545,-73.4550693782397,39.8364258759581,-75.3820075426722,2.33381857649929,0.90611398617029,1998.22709540967,1999.6548,231.844968875321,NY99,NY99,90
810,812,0.0231530860014821,41.3244385526293,-73.4966696389301,41.3144112933671,-73.4947394759279,0.812133559936871,0.788980473935389,1998.10996189744,1998.13311498344,1.12787815224271,NY99,NY99,90
812,813,0.217109473257999,41.3144112933671,-73.4947394759279,41.3503993330213,-73.6918001524813,1.02924303319487,0.812133559936871,1998.13311498344,1998.35022445669,16.9528948323523,NY99,NY99,90
813,762,1.386775543305,41.3503993330213,-73.6918001524813,41.2940846193415,-73.256030167494,2.41601857649987,1.02924303319487,1998.35022445669,1999.737,36.9680040588386,NY99,NY99,90
813,814,0.0838061694066212,41.3503993330213,-73.6918001524813,41.2202879924939,-73.3723639756926,1.11304920260149,1.02924303319487,1998.35022445669,1998.4340306261,30.3947911898251,NY99,NY99,90
814,815,1.777357570746,41.2202879924939,-73.3723639756926,42.2012573110821,-73.7167139270426,2.89040677334749,1.11304920260149,1998.4340306261,2000.21138819685,112.892285967621,NY99,NY99,90
815,796,1.413311803152,42.2012573110821,-73.7167139270426,42.0640598206711,-73.9240130315732,4.30371857649949,2.89040677334749,2000.21138819685,2001.6247,22.9382645831812,NY99,NY99,90
815,816,0.830049779427402,42.2012573110821,-73.7167139270426,42.2321189211952,-73.6578456590654,3.72045655277489,2.89040677334749,2000.21138819685,2001.04143797627,5.94646243110282,NY99,NY99,90
816,797,0.638062023724199,42.2321189211952,-73.6578456590654,43.324105364177,-74.7518141570439,4.35851857649909,3.72045655277489,2001.04143797627,2001.6795,150.888100931632,NY99,NY99,90
