Elevation,Land_cover_forests,Land_cover_shrublands,Land_cover_savannas,Land_cover_grasslands,Land_cover_croplands,Land_cover_urban_areas,Temperature_interpolated_rasters,Precipitation_interpolated_rasters
59.7200012207031,4,0,0,0,4,92,1.23158895969391,510.878295898438
NA,NA,NA,NA,NA,NA,NA,0.838467717170715,521.330871582031
41.1100006103516,4,0,0,21,0,73,0.936522781848907,514.268859863281
34,1,0,0,2,0,97,-1.47494864463806,1019.27661132812
16.6900005340576,4,0,0,2,2,55,NA,NA
54.8199996948242,8,0,0,20,0,71,16.235330581665,1037.46118164062
378.670013427734,64,0,0,0,30,6,17.593448638916,1000.02697753906
56.5200004577637,0,0,0,0,1,99,-1.22037315368652,876.556579589844
16.6900005340576,4,0,0,2,2,55,NA,NA
28.5100002288818,4,0,0,9,0,82,20.4430465698242,1258.82116699219
205.669998168945,94,0,0,0,0,6,17.562801361084,1022.59503173828
16.6900005340576,4,0,0,2,2,55,NA,NA
34,1,0,0,2,0,97,0.586801469326019,791.925903320312
16.6900005340576,4,0,0,2,2,55,NA,NA
16.6900005340576,4,0,0,2,2,55,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
24.6299991607666,1,0,0,9,4,57,1.05894303321838,520.149291992188
47.0400009155273,5,0,0,0,11,82,1.29798424243927,506.838684082031
31.6299991607666,25,0,0,7,3,39,1.0318648815155,522.883239746094
19.25,0,0,0,0,4,96,1.45541930198669,482.594604492188
49.4700012207031,14,0,0,3,0,83,8.89082431793213,759.067810058594
NA,NA,NA,NA,NA,NA,NA,NA,NA
16.6900005340576,4,0,0,2,2,55,NA,NA
16.6900005340576,4,0,0,2,2,55,3.15501117706299,747.761840820312
45.3899993896484,6,0,0,0,2,92,4.4151463508606,536.389343261719
NA,NA,NA,NA,NA,NA,NA,NA,NA
31.9200000762939,0,0,0,0,2,98,19.3887882232666,643.968444824219
43.6699981689453,0,0,0,0,0,100,13.9132213592529,219.81721496582
49.4700012207031,14,0,0,3,0,83,3.05107593536377,728.563171386719
23.1000003814697,25,0,0,6,0,51,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
41.2400016784668,21,0,0,0,5,74,0.97004246711731,536.415771484375
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
4.25,0,0,14,0,86,0,28.4103469848633,2977.69677734375
23.0200004577637,9,0,0,5,0,61,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
26.8500003814697,53,0,0,0,7,31,24.4165649414062,1050.71105957031
6.98000001907349,6,0,0,1,0,62,1.27690958976746,509.633331298828
21.5499992370605,0,0,0,0,0,100,1.43618321418762,491.035980224609
NA,NA,NA,NA,NA,NA,NA,NA,NA
21.8199996948242,0,0,0,0,0,100,1.40085911750793,497.557403564453
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
24.75,15,0,0,2,2,39,21.3695392608643,1467.44714355469
24.3400001525879,1,0,0,2,25,72,1.34980630874634,570.767211914062
12.7399997711182,8,0,0,8,0,40,NA,NA
24.3400001525879,1,0,0,2,25,72,7.26732921600342,916.075500488281
292.390014648438,10,0,4,2,20,63,21.9230041503906,626.213134765625
23.4899997711182,0,0,0,0,0,100,13.1280088424683,173.156188964844
24.9300003051758,5,0,0,0,46,49,-1.67546999454498,1215.5537109375
61.3499984741211,60,0,0,0,32,8,1.48791968822479,896.344543457031
23.4899997711182,0,0,0,0,0,100,13.0896549224854,168.910552978516
53.9300003051758,32,0,0,0,53,15,1.58053171634674,888.793518066406
19.1499996185303,15,0,0,0,1,84,18.6309490203857,576.162963867188
165.300003051758,55,0,0,0,41,4,17.6063709259033,1075.89270019531
70.9199981689453,11,0,0,0,89,0,3.47387194633484,1483.21313476562
482.320007324219,21,0,0,0,79,0,1.54855453968048,888.689636230469
65.9300003051758,10,0,0,0,8,82,25.2302017211914,867.239990234375
48,17,0,0,0,0,83,24.3976421356201,366.484802246094
376.160003662109,63,0,0,0,37,0,17.5602531433105,944.002502441406
46.2099990844727,6,0,0,1,2,88,8.62649154663086,856.456420898438
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.12999999523163,13,0,0,30,0,45,9.85114002227783,1142.404296875
80.8300018310547,6,0,0,0,0,94,13.756275177002,248.129318237305
1.12999999523163,13,0,0,30,0,45,-0.385989129543304,1224.99658203125
21.8299999237061,0,0,0,0,0,100,-0.442407429218292,1232.78637695312
40.5299987792969,26,0,0,0,20,54,-9.31262111663818,873.930847167969
21.8299999237061,0,0,0,0,0,100,0.00109559181146324,912.6650390625
1.12999999523163,13,0,0,30,0,45,0.0720246508717537,915.648864746094
21.8299999237061,0,0,0,0,0,100,1.46557867527008,735.881103515625
20.0499992370605,5,0,3,13,0,57,13.6046266555786,171.254486083984
18.6299991607666,0,0,0,0,0,100,20.581672668457,1396.46911621094
16.6900005340576,4,0,0,2,2,55,NA,NA
20.0499992370605,5,0,3,13,0,57,20.3882064819336,1366.74047851562
2.24000000953674,1,0,1,47,0,50,0.00784728024154902,914.352294921875
266.709991455078,0,0,0,0,98,2,19.0921726226807,788.849670410156
12.1099996566772,5,0,0,1,0,78,24.8354473114014,1315.65771484375
NA,NA,NA,NA,NA,NA,NA,NA,NA
75.5299987792969,55,0,0,0,8,37,23.1027984619141,1282.35229492188
25.1000003814697,64,0,0,7,1,8,NA,NA
5.34000015258789,0,0,0,0,0,100,9.95072650909424,230.544586181641
47.0400009155273,5,0,0,0,11,82,1.07597303390503,727.561279296875
34,1,0,0,2,0,97,20.0328769683838,1391.42016601562
NA,NA,NA,NA,NA,NA,NA,NA,NA
26.3999996185303,72,0,0,7,0,10,NA,NA
251.520004272461,100,0,0,0,0,0,1.43028843402863,665.632019042969
35.7200012207031,44,0,0,4,0,30,1.07838308811188,521.115295410156
21.5499992370605,0,0,0,0,0,100,16.2806797027588,946.863647460938
NA,NA,NA,NA,NA,NA,NA,24.6625003814697,1760.32495117188
21.5499992370605,0,0,0,0,0,100,22.0427055358887,248.899505615234
NA,NA,NA,NA,NA,NA,NA,20.5136051177979,1403.49621582031
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.0169997215271,519.832641601562
16.6900005340576,4,0,0,2,2,55,-0.190444514155388,1970.75061035156
NA,NA,NA,NA,NA,NA,NA,NA,NA
62.7200012207031,6,0,0,0,5,89,9.611496925354,648.084838867188
NA,NA,NA,NA,NA,NA,NA,24.9742984771729,915.324829101562
NA,NA,NA,NA,NA,NA,NA,NA,NA
155.169998168945,100,0,0,0,0,0,17.018518447876,1147.19006347656
NA,NA,NA,NA,NA,NA,NA,NA,NA
87.9499969482422,22,0,0,0,23,55,10.6956787109375,865.910766601562
NA,NA,NA,NA,NA,NA,NA,16.2849292755127,1067.76513671875
56.5200004577637,0,0,0,0,1,99,9.01310062408447,735.671936035156
87.9499969482422,22,0,0,0,23,55,16.0032062530518,1083.85632324219
87.9499969482422,22,0,0,0,23,55,21.1602001190186,1755.24096679688
